id,class_cold,layer_cold,whose_cold,rationale
1290-r1-1,MATERIAL,implementation,reviewer,C1 plugin twin unsynced (principle 24 arm d)
1290-r1-10,MATERIAL,implementation,reviewer,M1-M3 restored antecedents + fixture
1290-r1-2,MATERIAL,plan,reviewer,C2 spec resurrected the falsified ~53 KB/session figure (source had corrected...
1290-r1-3,MATERIAL,design,reviewer,C3 falsified flat 4 B/tok used throughout + the §3.1 ordering conclusion deri...
1290-r1-4,IMMATERIAL,implementation,reviewer,C4 S-L band misquoted (endpoints and direction)
1290-r1-5,IMMATERIAL,implementation,reviewer,I1 10 stale line citations
1290-r1-6,MATERIAL,implementation,reviewer,"I2 shipped agents cite unshipped files (declared residual, below)"
1290-r1-7,MATERIAL,design,reviewer,I3 deleted Revisit-criterion mechanics (restored in spec §6)
1290-r1-8,MATERIAL,implementation,reviewer,I4 population census incomplete (now 18/18)
1290-r1-9,MATERIAL,design,reviewer,I5 broken links
1290-r2-1,IMMATERIAL,implementation,reviewer,"one falsified strengthening claim (band floor 3,708 vs hook-inject ceiling 3,..."
1290-r2-2,IMMATERIAL,implementation,reviewer,"rounding 6,904→6,903"
1290-r2-3,IMMATERIAL,implementation,reviewer,−21%→−20.5%
1297-r1-1,MATERIAL,plan,advisor,"§3 authorized C1 to take umbrella B's named-owner First-Steps SSOT, contradic..."
1297-r1-10,IMMATERIAL,implementation,reviewer,«`FIDELITY: skipped` is not available to a stage PR» omitted the `## Provenan...
1297-r1-11,IMMATERIAL,implementation,reviewer,audit baseline is **33 rows / 7 surfaces** (not 12)
1297-r1-12,MATERIAL,implementation,reviewer,the First-Steps grep hits **6 files** (not 2) — and the omitted file was umbr...
1297-r1-13,IMMATERIAL,implementation,reviewer,bridge-health causal claim
1297-r1-14,IMMATERIAL,plan,reviewer,«silently»
1297-r1-15,IMMATERIAL,implementation,reviewer,citation nits
1297-r1-16,IMMATERIAL,plan,reviewer,600-line gate unflagged
1297-r1-17,MATERIAL,plan,reviewer,narrowed park channel
1297-r1-18,IMMATERIAL,plan,reviewer,weak pre-flight
1297-r1-19,MATERIAL,plan,reviewer,ambiguous root-AGENTS.md scope
1297-r1-2,IMMATERIAL,implementation,reviewer,D1 named `tier-home.md` (A-S3-owned) and `.ai-factory/RULES.md` as relocation...
1297-r1-3,MATERIAL,plan,reviewer,spec clause «npm path once live» (`spec:348`) silently dropped
1297-r1-4,MATERIAL,plan,reviewer,D1b entered `setup.d/**` while A-S4 is live there (`beta-delivery-ux/kickoff-...
1297-r1-5,MATERIAL,design,reviewer,co-ownership AC missed the case that exists in the field
1297-r1-6,MATERIAL,plan,reviewer,inherited traps T2/T14/T15 dropped — T15 is **mandatory** (`ai-laziness-traps...
1297-r1-7,MATERIAL,plan,advisor,the ≤150 park was a zero-cost exit from the stage's hard part
1297-r1-8,MATERIAL,implementation,reviewer,parity fixture's source unspecified — degradable to a file compared with itse...
1297-r1-9,MATERIAL,architecture,reviewer,"`REQUIRED_HEADER_DOCS` cited `:28-53`, truncated before the template precedent"
1302-r1-1,IMMATERIAL,implementation,reviewer,three stale-prose anchors the swap itself created (`render-rule-index.mjs:8` ...
1311-r1-1,MATERIAL,implementation,reviewer,a dangling «moved-to» pointer that had silently dropped the monorepo `ENOENT`...
1311-r1-2,MATERIAL,architecture,advisor,a shipped reference doc PRESCRIBING the `/aif-*` block the branch had just de...
1311-r1-3,IMMATERIAL,implementation,reviewer,"a false claim that AIF is bundled by our own installer, contradicting a sibli..."
1311-r1-4,MATERIAL,implementation,reviewer,a roster count rewritten in place while left stale
1311-r1-5,MATERIAL,implementation,reviewer,`AGENTS.md.template:30`'s `factory` row lists the 7-skill operator suite but ...
1329-r1-1,MATERIAL,implementation,reviewer,the documented upgrade path does not exist
1329-r1-2,MATERIAL,implementation,reviewer,the parity gate was registered in nothing
1329-r2-1,IMMATERIAL,implementation,reviewer,the snapshot regeneration the round-1 CI surfaced
1332-r1-1,IMMATERIAL,implementation,reviewer,the replacement sentence had itself gone false between authoring and merge
1332-r1-2,MATERIAL,implementation,reviewer,the F7 gate is `install.sh:678` (the cited `669-671` is the *core* skills loop)
1332-r1-3,IMMATERIAL,implementation,reviewer,the tier-home presence gate moved to `install.sh:1090-1093`
1333-r3-1,MATERIAL,implementation,reviewer,`tier` not stamped on the shipped live consumer path; re-derived at `install....
1333-r4-1,MATERIAL,implementation,reviewer,the committed `synth-and-wire.bundle.mjs` had drifted from its source while `...
1333-r5-1,IMMATERIAL,implementation,reviewer,on the live path this arm's precondition never occurs and every python rule f...
1341-r1-1,MATERIAL,implementation,reviewer,"the call appeared to pass, because the echoed profile matched. It matched by ..."
1341-r1-2,MATERIAL,implementation,reviewer,"The N5 stub was fail-**open** (catch-all `rc=0`, create arm with no body insp..."
1341-r1-3,MATERIAL,implementation,reviewer,A failed per-mode-default PUT warned and fell through to `DONE`
1341-r1-4,MATERIAL,implementation,reviewer,the §2-constraint-1 assertion on the step-D surface **could not fail** — it a...
1341-r1-5,MATERIAL,implementation,reviewer,round-6 recurrence in the leak block
1341-r7-1,MATERIAL,implementation,reviewer,the guard-the-guard asserts the capture is non-empty rather than that a /chat...
1341-r7-2,MATERIAL,implementation,reviewer,the shipped paired-negative for the leak detector greps a string it just wrot...
1341-r7-3,MATERIAL,implementation,reviewer,step D's zero-usage gate falls open on a non-numeric totalTokens (scripts/get...
1341-r7-4,IMMATERIAL,implementation,reviewer,the meta-scanner's declared population excludes the caseless stub at tests/in...
1341-r7-5,IMMATERIAL,implementation,reviewer,the research-patch addendum is headed with a commit that predates it (docs/me...
1341-r7-6,IMMATERIAL,implementation,reviewer,(accepted divergence) — §7e.3(2) literally asks for a completion against the ...
1346-r1-1,IMMATERIAL,implementation,reviewer,text-level compression («Any F4b LANDING» vs the spec's unscoped «any landing...
1349-r1-1,IMMATERIAL,implementation,reviewer,install-sh fingerprints not regenerated → deterministic red snapshot gate
1349-r1-2,MATERIAL,implementation,reviewer,debounce flag write leaked stderr on failure — redirect applied after the sim...
1349-r1-3,MATERIAL,implementation,reviewer,"three surviving mutations: `-1m` table branch, `1m-deep` tier, combined auton..."
1353-r1-1,MATERIAL,implementation,reviewer,"the criterion-3 tier assertion used `""$RULE_ID""[^}]*""tier"":0`, which cannot c..."
1353-r1-2,MATERIAL,implementation,reviewer,"criterion 7 had no assertion anywhere, in this diff or the standing suite"
1353-r1-3,MATERIAL,architecture,reviewer,"criterion 4's lock-level checks tested `.getff/rules-lock.{cargo,go}.json`, a..."
1353-r1-4a,MATERIAL,implementation,reviewer,a `skip`-that-passes on the one arm proving the stage
1353-r1-4b,IMMATERIAL,implementation,reviewer,a URL-only provenance grep
1353-r1-4c,IMMATERIAL,implementation,reviewer,a stale reader contract comment
1353-r1-4d,IMMATERIAL,design,advisor,the §2 justification for a second inline writer
1353-r2-1,MATERIAL,implementation,reviewer,M1's repair had reintroduced the same defect class through an **unbounded `.*...
1353-r3-1,MATERIAL,implementation,reviewer,**Proof corpus is one byte off the artefact it certifies.** The five syntheti...
1353-r3-2,IMMATERIAL,implementation,reviewer,**Round-narrative leaked into a shipped layer.** The comment at `setup.d/45-p...
1358-r1-1,MATERIAL,implementation,reviewer,Makefile wiring at Makefile:38
1358-r1-2,MATERIAL,implementation,reviewer,**Step (5) asserted file size while printing «loaded».** `readFileSync(...).l...
1358-r1-3,MATERIAL,implementation,reviewer,LICENSE/README gating at tests/consumer-matrix/npm-tarball-cell.sh:104
1358-r1-4,MATERIAL,implementation,reviewer,over-ship evidence at docs/meta-factory/getff-name-architecture-freeze.md:177
1358-r2-1,IMMATERIAL,implementation,reviewer,"preset-react-spa/package.json:11 is ""scripts""; the record now cites :15 and a..."
1358-r3-1,IMMATERIAL,implementation,reviewer,docs/meta-factory/getff-name-architecture-freeze.md:146 dropped the qualifier...
1360-r1-1,MATERIAL,architecture,advisor,"kickoff §3 makes the 6-item checklist binding on negative-existence claims, r..."
1360-r1-2,MATERIAL,plan,reviewer,RQ1 now carries a **per-tier** disposition (Fable 5 → `COVERAGE INSUFFICIENT ...
1360-r1-3,IMMATERIAL,implementation,reviewer,`T_soft(200k)` is **parked** as §4c fork `PARK-CDC-1` instead of silently pro...
1360-r1-4,MATERIAL,architecture,reviewer,the unsourced `85% (~170k)` and the unsourced `+10–15%` / `−5%` deltas are de...
1360-r1-5,IMMATERIAL,implementation,reviewer,four citation years corrected against their sources
1360-r1k-1,IMMATERIAL,implementation,reviewer,**404 anchor.** Rev 1 cited `codingfleet.com/blog/…-actually-use-1m-2026/` → ...
1360-r1k-2,IMMATERIAL,implementation,reviewer,**The same anchor was leaned on in two opposite directions:** rated «WEAK» in...
1360-r1k-3,IMMATERIAL,implementation,reviewer,**Two «2026» sources are 2025:** `claude-code#13239` → `gh api` says `created...
1360-r1k-4,IMMATERIAL,implementation,reviewer,**An unsourced causal attribution:** «18-day **export-control** suspension» o...
1360-r1k-5,MATERIAL,implementation,reviewer,**Imprecise comparator:** «76% … vs predecessor's 18.5%» — the source attribu...
1360-r2-1,IMMATERIAL,implementation,reviewer,a ranking withdrawn in prose but left standing in the table that summarised i...
1360-r2-2,MATERIAL,plan,reviewer,two *new* negative-existence claims that rev 2 had substituted for the falsif...
1360-r2-3,MATERIAL,plan,reviewer,"three citations carrying no date at all, sitting under a rev-2 predicate that..."
1360-r3-1,IMMATERIAL,implementation,reviewer,"Row 1.12 carries no publication date, yet the coverage recount had counted it..."
1360-r3-2,MATERIAL,architecture,advisor,The `~600k` upper falsifier was imported **across task classes** without disc...
1360-r3-3,IMMATERIAL,implementation,reviewer,"the Fable-5 disposition reads «COVERAGE WIDENED, STILL INSUFFICIENT FOR A THR..."
1376-bu1-1,MATERIAL,design,reviewer,"`label_final` has no defined value set, and three incompatible vocabularies a..."
1376-bu1-10,MATERIAL,plan,reviewer,«spec §13/§14 disposition tables» is not a stable locator
1376-bu1-11,MATERIAL,architecture,advisor,S5 edits an artifact the Ownership Contract marks read-only for sessions
1376-bu1-12,MATERIAL,plan,reviewer,§7's disposition set extends its cited source
1376-bu1-2,MATERIAL,implementation,advisor,"the cold re-label reads the audit's own grade justification, so κ is inflated..."
1376-bu1-3,IMMATERIAL,implementation,reviewer,"`audit-1369.csv` and `s4-round7.csv` are overlapping populations, so ~11 rows..."
1376-bu1-4,MATERIAL,plan,reviewer,§9 lands the SSOT entry in S5 while the promptfoo capability commit lands in ...
1376-bu1-5,IMMATERIAL,implementation,reviewer,`td-m3.csv` cites a source that holds only one of the two incidents
1376-bu1-6,IMMATERIAL,implementation,reviewer,`pr-body-fidelity.ts:165` is a stale line pointer
