id,class_final,layer_final,whose_final,c0_class,c1_class,c1_layer,c1_whose,c2_class,c2_layer,c2_whose,scored_subset
1290-r1-1,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1290-r1-2,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,design,reviewer,MATERIAL,plan,reviewer,1
1290-r1-3,MATERIAL,design,reviewer,MATERIAL,MATERIAL,design,reviewer,MATERIAL,plan,reviewer,1
1290-r1-4,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,design,reviewer,MATERIAL,plan,reviewer,1
1290-r1-5,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,design,reviewer,IMMATERIAL,plan,reviewer,1
1290-r1-6,MATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1290-r1-7,MATERIAL,design,reviewer,IMMATERIAL,IMMATERIAL,design,reviewer,MATERIAL,plan,reviewer,1
1290-r1-8,MATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,1
1290-r1-9,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1290-r1-10,MATERIAL,implementation,reviewer,IMMATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1290-r2-1,IMMATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,design,reviewer,MATERIAL,plan,reviewer,1
1290-r2-2,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1290-r2-3,IMMATERIAL,implementation,reviewer,IMMATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1297-r1-1,MATERIAL,plan,advisor,MATERIAL,MATERIAL,plan,advisor,MATERIAL,plan,reviewer,1
1297-r1-2,MATERIAL,plan,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1297-r1-3,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,plan,reviewer,MATERIAL,plan,reviewer,1
1297-r1-4,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,architecture,reviewer,MATERIAL,plan,reviewer,1
1297-r1-5,MATERIAL,design,reviewer,MATERIAL,MATERIAL,plan,reviewer,MATERIAL,plan,reviewer,1
1297-r1-6,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,architecture,reviewer,MATERIAL,architecture,reviewer,1
1297-r1-7,MATERIAL,plan,advisor,MATERIAL,MATERIAL,design,reviewer,MATERIAL,architecture,advisor,1
1297-r1-8,MATERIAL,implementation,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,implementation,reviewer,1
1297-r1-9,MATERIAL,implementation,reviewer,MATERIAL,IMMATERIAL,implementation,reviewer,IMMATERIAL,implementation,reviewer,1
1297-r1-10,MATERIAL,plan,reviewer,MATERIAL,MATERIAL,implementation,reviewer,MATERIAL,plan,reviewer,1
