id,stratum,outcome,cost,witness,rationale
1290-r1-1,A,HOLDS,N/A,packages/core/principles/24-plugin-manifest-integrity.test.ts:266-275,Plugin twin sync fixed in PR #1290 commit be087d3585 which copied agents/compliance-verifier.md to plugin/agents/compliance-verifier.md to restore principle-24 arm (d) twin invariant. Current state shows files are byte-identical (diff produces no output). No subsequent commits undid this fix.
1290-r1-2,A,HOLDS,N/A,docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:104-110,Spec corrected in PR #1290 to state ~17.3 KB/session is the corrected figure (line 104-110) and explicitly calls out ~53 KB as falsified pre-measurement estimate (line 107-110). Current text: Raw injected volume ~17.3 KB per session (line 104) and The ~53 KB/session figure this spec previously carried is the falsified pre-measurement estimate (lines 107-110).
1290-r1-3,A,HOLDS,N/A,"docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:66,93-94",Spec corrected in PR #1290 to state re-derived by content-shape (NOT flat 4 B/tok) at line 66 and A flat 4 B/tok point estimate understates token counts (lines 93-94). The spec now consistently uses band measurements throughout all tables instead of flat 4 B/tok conversion.
1290-r1-4,A,HOLDS,N/A,docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:102-110,"S-L band data correctly cited at lines 102-110 showing S-H §5 corrected figure ~17.3 KB per session with proper S-H source citations. Band measurements properly applied with 1,835-3.416 B/t and 1,835-3,128 cp/t divisors."
1290-r1-5,A,HOLDS,N/A,"docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:104,158","All citations checked and current. Line 104 cites 2026-08-07-s-h-turn-attribution-p3d-p11.md:352-361. Line 158 cites s-h-...:282-283,335-336. Git log shows no changes to this file since PR #1290, so citations remain as corrected."
1290-r1-6,D,HOLDS,N/A,agents/adapter-jig-reviewer.md:1-10,All shipped agents cite valid spec files that exist. adapter-jig-reviewer.md (line 10) cites docs/superpowers/specs/2026-07-22-adapter-jig-design.md which exists. Other agents similarly cite only shipped specs. No agents cite unshipped files.
1290-r1-7,A,HOLDS,N/A,docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:455-465,Reclassification mechanics explicitly preserved and documented at lines 455-465 in §6. Text states: Reclassification mechanics preserved here (Task 6 deleted three Revisit criterion blocks) and provides the full mechanics for future reclassification.
1290-r1-8,A,HOLDS,N/A,docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:337-360,"Population census complete at line 337 stating 18 files with full classification table from lines 340-360. Table rows 1-8 enumerate all 8 in-scope review-seat agents with dispositions, rows 9-18 enumerate all 10 out-of-scope files with detailed reasons."
1290-r1-9,A,HOLDS,N/A,"docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md:104,230,237","All links verified. Line 104 links to 2026-08-07-s-h-turn-attribution-p3d-p11.md:352-361. Lines 230,237 link to 2026-08-07-s-l-recalculation.md. Git log shows these are the corrected citations from PR #1290 and no subsequent changes."
1290-r1-10,D,HOLDS,N/A,tests/fixtures/shipped-agent-liveness/compliance-verifier.md:1,Fixture file exists and contains complete compliance-verifier test fixture with 89 lines. Git log shows fixture created in PR #580 and last modified in PR #1290. No subsequent changes.
