id,source,provenance,finding,context,class_start,orig_grade,stratum,class_final,status
"1341-r7-1","1341-r7","pr-body","the guard-the-guard asserts the capture is non-empty rather than that a /chat request is in it (tests/install-sh/glm-onebutton.test.sh:659-663).","PR #1341 · round 7 · tests/install-sh/glm-onebutton.test.sh","MATERIAL","MINOR","minor/material","MATERIAL","adjudicated"
"1341-r7-2","1341-r7","pr-body","the shipped paired-negative for the leak detector greps a string it just wrote, so it proves grep works; the real discrimination was proven by mutation on a scratch copy, not by the shipped artefact (:672-678).","PR #1341 · round 7 · tests/install-sh/glm-onebutton.test.sh","MATERIAL","MINOR","minor/material","MATERIAL","adjudicated"
"1341-r7-3","1341-r7","pr-body","step D's zero-usage gate falls open on a non-numeric totalTokens (scripts/getff-glm-onebutton.sh:525).","PR #1341 · round 7 · scripts/getff-glm-onebutton.sh","MATERIAL","MINOR","minor/material","MATERIAL","adjudicated"
"1341-r7-4","1341-r7","pr-body","the meta-scanner's declared population excludes the caseless stub at tests/install-sh/glm-onebutton.test.sh:455 (pre-existing on staging).","PR #1341 · round 7 · tests/install-sh/glm-onebutton.test.sh","MATERIAL","MINOR","minor/material","MATERIAL","adjudicated"
"1341-r7-5","1341-r7","pr-body","the research-patch addendum is headed with a commit that predates it (docs/meta-factory/research-patches/2026-08-08-s4-glm-onebutton-entry-verification.md:248).","PR #1341 · round 7 · docs/meta-factory/research-patches/2026-08-08-s4-glm-onebutton-entry-verification.md","IMMATERIAL","MINOR","minor/immaterial","IMMATERIAL","adjudicated"
"1360-r1k-1","1360-r1","pr-body","**404 anchor.** Rev 1 cited `codingfleet.com/blog/…-actually-use-1m-2026/` → HTTP 404. The article is real at `…-use-1m-tokens-2026/` (2026-05-29) and both quoted strings reproduce there verbatim. Slug fixed; now 200. Not a CI risk either way — `lychee.toml:37` excludes research-patches from the live link audit by design.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","IMMATERIAL","MINOR","minor/immaterial","IMMATERIAL","adjudicated"
"1360-r1k-2","1360-r1","pr-body","**The same anchor was leaned on in two opposite directions:** rated «WEAK» in §findings and «the strongest external anchor» in §calibrated-parameters. Probed — its metric set is MRCR v2 / NIAH-2 / Graphwalks / NoLiMa, i.e. **retrieval**, the exact class the patch demotes source 1.6 for. Rev 2 re-rates it `NO MATCH` in both places and replaces the anchor claim.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL","MINOR","minor/material","MATERIAL","adjudicated"
"1360-r1k-3","1360-r1","pr-body","**Two «2026» sources are 2025:** `claude-code#13239` → `gh api` says `created_at 2025-12-06`; the Addy Osmani post → 2025-12-19 (its title's «2026» is its subject, not its date). Both corrected. The cold audit independently caught a third of the same shape (arXiv 2505 → May 2025).","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL-b","MINOR","minor/material-b","MATERIAL","adjudicated"
"1360-r1k-4","1360-r1","pr-body","**An unsourced causal attribution:** «18-day **export-control** suspension» of Fable 5. The cited Anthropic page documents the suspension (06-12) and restoration (07-01) and states **no reason**. Attribution removed; the interval is also 19 days, not 18.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","MATERIAL-b","MINOR","minor/material-b","MATERIAL","adjudicated"
"1360-r1k-5","1360-r1","pr-body","**Imprecise comparator:** «76% … vs predecessor's 18.5%» — the source attributes 18.5% to **Sonnet 4.5** on MRCR v2 8-needle 1M. Corrected.","PR #1360 · round 1 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md","IMMATERIAL","MINOR","minor/immaterial","IMMATERIAL","adjudicated"
"1360-r3-3","1360-r3","pr-body","the Fable-5 disposition reads «COVERAGE WIDENED, STILL INSUFFICIENT FOR A THRESHOLD» instead of «PARTLY ANSWERED», on the seat's point that the old label signalled more resolution than one unreplicated source can carry","PR #1360 · round 3 · docs/meta-factory/research-patches/2026-08-09-context-degradation-calibration.md:51","IMMATERIAL","MINOR","minor/immaterial","MATERIAL","adjudicated"
"1353-r3-1","1353-r3","pr-body","**Proof corpus is one byte off the artefact it certifies.** The five synthetic locks at `tests/install-sh/python-rules-lock.test.sh:447-456` join rule objects with `},{` while the real emitter joins with `}, {` (`setup.d/45-python.sh:534`). The auditor re-ran the shipped pattern over real-separator shapes and got identical verdicts (7/7), so it is verified non-load-bearing today — flagged because a fixture that does not reproduce the emitted shape is the class of thing that hides the *next* boundary defect.","PR #1353 · round 3 · tests/install-sh/python-rules-lock.test.sh","IMMATERIAL","MINOR","minor/immaterial","IMMATERIAL","adjudicated"
"1353-r3-2","1353-r3","pr-body","**Round-narrative leaked into a shipped layer.** The comment at `setup.d/45-python.sh:518-521` retells the round-2 audit («it said ""line 648"" while the same hunk … pushed the caller to 654»). The substantive repair — naming `_py_write_rules_lock` instead of a line number — is correct and durable; the audit-round retelling inside consumer-installed `setup.d/` is not.","PR #1353 · round 3 · setup.d/45-python.sh","IMMATERIAL","MINOR","minor/immaterial","IMMATERIAL","adjudicated"
"1358-r3-1","1358-r3","pr-body","docs/meta-factory/getff-name-architecture-freeze.md:146 dropped the qualifier ""publishable-intent"", leaving ""all four siblings do"". packages/ holds six siblings of core; lint-config and runtime-bridge declare no peerDependencies. The four named packages and their line numbers are correct, so the referent is recoverable from the enumeration itself — precision regression in a parenthetical, not a wrong fact about any named package.","PR #1358 · round 3 · docs/meta-factory/getff-name-architecture-freeze.md:146","IMMATERIAL","MINOR","minor/immaterial","IMMATERIAL","adjudicated"
