id,source,provenance,finding,context,class_start,orig_grade
"kl-1292-1","1292-kl","pr-body","the lanes disagree about what `RulesLock.version` means","PR #1292 · getff-S1 kickoff rev · docs/meta-factory/research-patches/2026-08-08-rules-lock-version-semantics-fork.md","UNRECOVERABLE","none"
"kl-1296-1","1296-kl","pr-body","Records the operator decision on the `RulesLock.version` semantics fork","PR #1296 · getff-S1 kickoff rev · .claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md","UNRECOVERABLE","none"
"kl-1305-1","1305-kl","pr-body","Records the operator's decisions on the three remaining S1 parks","PR #1305 · getff-S1 kickoff rev · .claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md","UNRECOVERABLE","none"
"kl-1315-1","1315-kl","pr-body","the two omitted permitted-files entries the auditor flagged","PR #1315 · getff-S1 kickoff rev · .claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md","UNRECOVERABLE","none"
"kl-1317-1","1317-kl","pr-body","two further files the change provably forces are still outside §2","PR #1317 · getff-S1 kickoff rev · .claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md","UNRECOVERABLE","none"
"kl-1328-1","1328-kl","pr-body","Three repairs to the S1 kickoff, all surfaced by the round-5 cold delta audit","PR #1328 · getff-S1 kickoff rev · .claude/orchestrator-prompts/getff-freshness-widening/kickoff-s1.md","UNRECOVERABLE","none"
"kl-1295-1","1295-kl","pr-body","Records the operator's 2026-08-08 batch resolving the six forks parked in the #1284 body","PR #1295 · beta-delivery-ux S4 addendum · .claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md","UNRECOVERABLE","none"
"kl-1310-1","1310-kl","pr-body","§7a has no channel connecting the key's storage to the process that must read it","PR #1310 · beta-delivery-ux S4 addendum · .claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md","UNRECOVERABLE","none"
"kl-1318-1","1318-kl","pr-body","facts that only exist on the **host**, plus the run-2 defects that had no instruction attached to them","PR #1318 · beta-delivery-ux S4 addendum · .claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md","UNRECOVERABLE","none"
"kl-1319-1","1319-kl","pr-body","one of its *path citations* — and that one is mine","PR #1319 · beta-delivery-ux S4 addendum · .claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md","UNRECOVERABLE","none"
"kl-1324-1","1324-kl","pr-body","dispatch facts for run 4. Not a re-plan: §7e's design stands untouched","PR #1324 · beta-delivery-ux S4 addendum · .claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md","UNRECOVERABLE","none"
"kl-1340-1","1340-kl","pr-body","weaken §7a #3's completion proof, or weaken §2 constraint 1's key-handling invariant","PR #1340 · beta-delivery-ux S4 addendum · .claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md","UNRECOVERABLE","none"
"kl-1351-1","1351-kl","pr-body","Records the operator's answers to the two questions the unattended run logged rather than decided","PR #1351 · beta-delivery-ux S4 addendum · .claude/orchestrator-prompts/beta-delivery-ux/kickoff-s4.md","UNRECOVERABLE","none"
