id,class_final,layer_final,whose_final,status
1290-r1-1,MATERIAL,implementation,reviewer,agreed
1290-r1-2,MATERIAL,plan,reviewer,agreed
1290-r1-3,MATERIAL,design,reviewer,agreed
1290-r1-4,MATERIAL,implementation,reviewer,adjudicated
1290-r1-5,IMMATERIAL,implementation,reviewer,agreed
1290-r1-6,MATERIAL,implementation,reviewer,agreed
1290-r1-7,MATERIAL,design,reviewer,agreed
1290-r1-8,MATERIAL,implementation,reviewer,adjudicated
1290-r1-9,IMMATERIAL,implementation,reviewer,adjudicated
1290-r1-10,MATERIAL,implementation,reviewer,adjudicated
1290-r2-1,IMMATERIAL,implementation,reviewer,adjudicated
1290-r2-2,IMMATERIAL,implementation,reviewer,agreed
1290-r2-3,IMMATERIAL,implementation,reviewer,agreed
1297-r1-1,MATERIAL,plan,advisor,agreed
1297-r1-2,MATERIAL,plan,reviewer,adjudicated
1297-r1-3,MATERIAL,plan,reviewer,adjudicated
1297-r1-4,MATERIAL,plan,reviewer,adjudicated
1297-r1-5,MATERIAL,design,reviewer,adjudicated
1297-r1-6,MATERIAL,plan,reviewer,adjudicated
1297-r1-7,MATERIAL,plan,advisor,adjudicated
1297-r1-8,MATERIAL,implementation,reviewer,adjudicated
1297-r1-9,MATERIAL,implementation,reviewer,adjudicated
1297-r1-10,MATERIAL,plan,reviewer,adjudicated
1297-r1-11,MATERIAL,plan,reviewer,adjudicated
1297-r1-12,MATERIAL,implementation,reviewer,agreed
1297-r1-13,IMMATERIAL,implementation,reviewer,agreed
1297-r1-14,IMMATERIAL,plan,reviewer,agreed
1297-r1-15,IMMATERIAL,implementation,reviewer,agreed
1297-r1-16,IMMATERIAL,plan,reviewer,agreed
1297-r1-17,MATERIAL,plan,reviewer,adjudicated
1297-r1-18,IMMATERIAL,plan,reviewer,agreed
1297-r1-19,MATERIAL,plan,reviewer,adjudicated
1302-r1-1,IMMATERIAL,implementation,reviewer,agreed
1311-r1-1,MATERIAL,implementation,reviewer,agreed
1311-r1-2,MATERIAL,architecture,reviewer,agreed
1311-r1-3,MATERIAL,implementation,reviewer,adjudicated
1311-r1-4,MATERIAL,implementation,reviewer,adjudicated
1311-r1-5,MATERIAL,implementation,reviewer,adjudicated
1329-r1-1,MATERIAL,implementation,reviewer,agreed
1329-r1-2,MATERIAL,implementation,reviewer,agreed
1329-r2-1,MATERIAL,implementation,reviewer,adjudicated
1332-r1-1,MATERIAL,implementation,reviewer,adjudicated
1332-r1-2,IMMATERIAL,implementation,reviewer,adjudicated
1332-r1-3,IMMATERIAL,implementation,reviewer,agreed
1333-r3-1,MATERIAL,implementation,reviewer,agreed
1333-r4-1,MATERIAL,implementation,reviewer,agreed
1333-r5-1,MATERIAL,implementation,reviewer,adjudicated
1341-r1-1,MATERIAL,implementation,reviewer,agreed
1341-r1-2,MATERIAL,implementation,reviewer,agreed
1341-r1-3,MATERIAL,implementation,reviewer,agreed
1341-r1-4,MATERIAL,implementation,reviewer,agreed
1341-r1-5,MATERIAL,implementation,reviewer,agreed
1346-r1-1,IMMATERIAL,implementation,reviewer,agreed
1349-r1-1,MATERIAL,implementation,reviewer,adjudicated
1349-r1-2,MATERIAL,implementation,reviewer,adjudicated
1349-r1-3,MATERIAL,implementation,reviewer,agreed
1353-r1-1,MATERIAL,implementation,reviewer,agreed
1353-r1-2,MATERIAL,implementation,reviewer,agreed
1353-r1-3,MATERIAL,architecture,reviewer,agreed
1353-r1-4a,MATERIAL,implementation,reviewer,agreed
1353-r1-4b,MATERIAL,implementation,reviewer,adjudicated
1353-r1-4c,IMMATERIAL,implementation,reviewer,agreed
1353-r1-4d,IMMATERIAL,design,advisor,agreed
1353-r2-1,MATERIAL,implementation,reviewer,agreed
1353-r3-1,IMMATERIAL,implementation,reviewer,adjudicated
1353-r3-2,IMMATERIAL,implementation,reviewer,agreed
1358-r1-1,MATERIAL,implementation,reviewer,agreed
1358-r1-2,MATERIAL,implementation,reviewer,agreed
1358-r1-3,MATERIAL,implementation,reviewer,adjudicated
1358-r1-4,MATERIAL,implementation,reviewer,adjudicated
1358-r2-1,IMMATERIAL,implementation,reviewer,agreed
1358-r3-1,IMMATERIAL,implementation,reviewer,agreed
1360-r1-1,MATERIAL,plan,reviewer,agreed
1360-r1-2,MATERIAL,plan,reviewer,agreed
1360-r1-3,MATERIAL,design,reviewer,adjudicated
1360-r1-4,MATERIAL,design,reviewer,agreed
1360-r1-5,IMMATERIAL,implementation,reviewer,adjudicated
1360-r1k-1,IMMATERIAL,implementation,reviewer,agreed
1360-r1k-2,MATERIAL,implementation,reviewer,adjudicated
1360-r1k-3,IMMATERIAL,implementation,reviewer,adjudicated
1360-r1k-4,IMMATERIAL,implementation,reviewer,adjudicated
1360-r1k-5,IMMATERIAL,implementation,reviewer,adjudicated
1360-r2-1,MATERIAL,implementation,reviewer,adjudicated
1360-r2-2,MATERIAL,plan,reviewer,agreed
1360-r2-3,MATERIAL,plan,reviewer,agreed
1360-r3-1,IMMATERIAL,implementation,reviewer,adjudicated
1360-r3-2,MATERIAL,design,reviewer,agreed
1360-r3-3,IMMATERIAL,implementation,reviewer,agreed
1341-r7-1,MATERIAL,implementation,reviewer,agreed
1341-r7-2,MATERIAL,implementation,reviewer,agreed
1341-r7-3,MATERIAL,implementation,reviewer,agreed
1341-r7-4,MATERIAL,implementation,reviewer,adjudicated
1341-r7-5,IMMATERIAL,implementation,reviewer,agreed
1341-r7-6,IMMATERIAL,implementation,reviewer,agreed
1376-td1-1,MATERIAL,design,reviewer,adjudicated
1376-td1-2,MATERIAL,architecture,reviewer,adjudicated
1376-td1-3,MATERIAL,architecture,advisor,adjudicated
1376-td1-4,MATERIAL,architecture,reviewer,adjudicated
1376-td1-5,MATERIAL,architecture,reviewer,adjudicated
1376-td1-6,MATERIAL,design,reviewer,adjudicated
1376-td1-7,MATERIAL,architecture,reviewer,adjudicated
1376-td1-8,MATERIAL,design,operator-floor,adjudicated
1376-td1-9,MATERIAL,design,reviewer,adjudicated
1376-td1-10,MATERIAL,plan,advisor,adjudicated
1376-td1-11,MATERIAL,architecture,advisor,adjudicated
1376-td1-12,MATERIAL,design,operator-floor,adjudicated
1376-td1-13,MATERIAL,design,operator-floor,adjudicated
1376-td1-14,IMMATERIAL,implementation,reviewer,adjudicated
1376-td1-15,MATERIAL,design,reviewer,adjudicated
1376-td1-16,IMMATERIAL,implementation,reviewer,adjudicated
1376-td1-17,MATERIAL,plan,reviewer,adjudicated
1376-td1-18,MATERIAL,plan,reviewer,adjudicated
1376-bu1-1,MATERIAL,design,reviewer,adjudicated
1376-bu1-2,MATERIAL,architecture,reviewer,adjudicated
1376-bu1-3,MATERIAL,implementation,reviewer,adjudicated
1376-bu1-4,MATERIAL,plan,reviewer,adjudicated
1376-bu1-5,MATERIAL,implementation,reviewer,adjudicated
1376-bu1-6,IMMATERIAL,implementation,reviewer,adjudicated
1376-bu1-7,MATERIAL,implementation,reviewer,adjudicated
1376-bu1-8,MATERIAL,implementation,reviewer,adjudicated
1376-bu1-9,IMMATERIAL,implementation,reviewer,adjudicated
1376-bu1-10,MATERIAL,plan,reviewer,adjudicated
1376-bu1-11,MATERIAL,architecture,reviewer,adjudicated
1376-bu1-12,IMMATERIAL,plan,reviewer,adjudicated
1376-r2v-1,MATERIAL,implementation,reviewer,adjudicated
1376-r2v-2,MATERIAL,implementation,reviewer,adjudicated
1376-r2v-3,MATERIAL,architecture,advisor,adjudicated
1376-r2v-4,MATERIAL,design,reviewer,adjudicated
1376-r2v-5,MATERIAL,plan,reviewer,adjudicated
1376-r2v-6,MATERIAL,design,reviewer,adjudicated
1376-r2v-7,MATERIAL,plan,reviewer,adjudicated
1376-r2v-8,IMMATERIAL,plan,reviewer,adjudicated
1376-r2v-9,MATERIAL,plan,reviewer,adjudicated
1376-fid1-1,IMMATERIAL,implementation,reviewer,adjudicated
1376-fid1-2,MATERIAL,plan,reviewer,adjudicated
1376-fid1-3,MATERIAL,plan,reviewer,adjudicated
1376-fid1-4,IMMATERIAL,implementation,reviewer,adjudicated
1376-fid1-5,MATERIAL,architecture,reviewer,adjudicated
kl-1292-1,MATERIAL,design,advisor,adjudicated
kl-1296-1,MATERIAL,design,advisor,adjudicated
kl-1305-1,MATERIAL,plan,advisor,adjudicated
kl-1315-1,MATERIAL,plan,reviewer,adjudicated
kl-1317-1,MATERIAL,plan,reviewer,adjudicated
kl-1328-1,IMMATERIAL,plan,reviewer,adjudicated
kl-1295-1,MATERIAL,plan,advisor,adjudicated
kl-1310-1,MATERIAL,architecture,reviewer,adjudicated
kl-1318-1,MATERIAL,plan,reviewer,adjudicated
kl-1319-1,IMMATERIAL,implementation,reviewer,adjudicated
kl-1324-1,IMMATERIAL,plan,reviewer,adjudicated
kl-1340-1,MATERIAL,plan,reviewer,adjudicated
kl-1351-1,MATERIAL,plan,advisor,adjudicated
