id,display_n,c0_grade_map,c1_sonnet_blind,session_rater_contaminated,fable_blind,operator_final
"1341-r7-2","1","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1360-r1k-3","2","IMMATERIAL","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1341-r7-4","3","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1297-r1-6","4","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1353-r1-2","5","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1349-r1-2","6","IMMATERIAL","IMMATERIAL","MATERIAL","IMMATERIAL","IMMATERIAL"
"1360-r1k-1","7","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL"
"1353-r1-1","8","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1341-r7-1","9","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1353-r3-1","10","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL"
"1349-r1-3","11","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1360-r1k-2","12","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1360-r1k-4","13","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1360-r3-1","14","MATERIAL","MATERIAL","MATERIAL","MATERIAL","IMMATERIAL"
"1333-r5-1","15","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1297-r1-4","16","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1358-r3-1","17","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL"
"1297-r1-3","18","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1297-r1-2","19","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1360-r3-3","20","IMMATERIAL","MATERIAL","IMMATERIAL","MATERIAL","MATERIAL"
"1297-r1-1","21","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1360-r3-2","22","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1297-r1-5","23","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1349-r1-1","24","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1346-r1-1","25","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL"
"1353-r3-2","26","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL"
"1358-r1-2","27","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1341-r7-3","28","IMMATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1360-r1k-5","29","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL"
"1341-r7-5","30","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL","IMMATERIAL"
"1360-r1-1","31","MATERIAL","MATERIAL","MATERIAL","MATERIAL","MATERIAL"
"1358-r2-1","32","IMMATERIAL","MATERIAL","IMMATERIAL","IMMATERIAL","removed"
