id,source,provenance,finding,context,class_start,orig_grade
"1290-r1-1","1290-r1","pr-body","C1 plugin twin unsynced (principle 24 arm d)","PR #1290 · round 1 · tests/fixtures/shipped-agent-liveness/compliance-verifier.md","MATERIAL","MAJOR"
"1290-r1-2","1290-r1","pr-body","C2 spec resurrected the falsified ~53 KB/session figure (source had corrected it to ~17.3 KB)","PR #1290 · round 1 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","MATERIAL","MAJOR"
"1290-r1-3","1290-r1","pr-body","C3 falsified flat 4 B/tok used throughout + the §3.1 ordering conclusion derived from it","PR #1290 · round 1 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","MATERIAL","MAJOR"
"1290-r1-4","1290-r1","pr-body","C4 S-L band misquoted (endpoints and direction)","PR #1290 · round 1 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","MATERIAL-b","MAJOR"
"1290-r1-5","1290-r1","pr-body","I1 10 stale line citations","PR #1290 · round 1 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","IMMATERIAL","MINOR"
"1290-r1-6","1290-r1","pr-body","I2 shipped agents cite unshipped files (declared residual, below)","PR #1290 · round 1 · agents/","MATERIAL","MINOR"
"1290-r1-7","1290-r1","pr-body","I3 deleted Revisit-criterion mechanics (restored in spec §6)","PR #1290 · round 1 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","MATERIAL","MINOR"
"1290-r1-8","1290-r1","pr-body","I4 population census incomplete (now 18/18)","PR #1290 · round 1 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","MATERIAL-b","MINOR"
"1290-r1-9","1290-r1","pr-body","I5 broken links","PR #1290 · round 1 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","IMMATERIAL","MINOR"
"1290-r1-10","1290-r1","pr-body","M1-M3 restored antecedents + fixture","PR #1290 · round 1 · tests/fixtures/","IMMATERIAL","MINOR"
"1290-r2-1","1290-r2","pr-body","one falsified strengthening claim (band floor 3,708 vs hook-inject ceiling 3,735)","PR #1290 · round 2 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","MATERIAL-b","MAJOR"
"1290-r2-2","1290-r2","pr-body","rounding 6,904→6,903","PR #1290 · round 2 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","IMMATERIAL","MINOR"
"1290-r2-3","1290-r2","pr-body","−21%→−20.5%","PR #1290 · round 2 · docs/superpowers/specs/2026-08-07-s-d-prime-subtraction-maps.md","IMMATERIAL","MINOR"
"1297-r1-1","1297-r1","pr-body","§3 authorized C1 to take umbrella B's named-owner First-Steps SSOT, contradicting B-D5 (`beta-docs-showcase-design.md:156-161`) and the kickoff's own park contract","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","MATERIAL","BLOCKER"
"1297-r1-2","1297-r1","pr-body","D1 named `tier-home.md` (A-S3-owned) and `.ai-factory/RULES.md` as relocation targets; the latter is `copy_safe`-installed from preset packages (`setup.d/30-templates.sh:25,27,29`)","PR #1297 · round 1 · setup.d/30-templates.sh","MATERIAL","BLOCKER"
"1297-r1-3","1297-r1","pr-body","spec clause «npm path once live» (`spec:348`) silently dropped","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR"
"1297-r1-4","1297-r1","pr-body","D1b entered `setup.d/**` while A-S4 is live there (`beta-delivery-ux/kickoff-s4.md:231,250`); contention analysis covered only `INSTALL-FOR-AI.md`","PR #1297 · round 1 · setup.d/","UNRECOVERABLE","MAJOR"
"1297-r1-5","1297-r1","pr-body","co-ownership AC missed the case that exists in the field","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR"
"1297-r1-6","1297-r1","pr-body","inherited traps T2/T14/T15 dropped — T15 is **mandatory** (`ai-laziness-traps.md §4 #self-protection-omitted`)","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR"
"1297-r1-7","1297-r1","pr-body","the ≤150 park was a zero-cost exit from the stage's hard part","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR"
"1297-r1-8","1297-r1","pr-body","parity fixture's source unspecified — degradable to a file compared with itself, making the seeded-red impossible","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR"
"1297-r1-9","1297-r1","pr-body","`REQUIRED_HEADER_DOCS` cited `:28-53`, truncated before the template precedent","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR"
"1297-r1-10","1297-r1","pr-body","«`FIDELITY: skipped` is not available to a stage PR» omitted the `## Provenance` precondition that alone makes it true (`pr-body-fidelity.ts:44,147-152`)","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","UNRECOVERABLE","MAJOR"
"1297-r1-11","1297-r1","pr-body","audit baseline is **33 rows / 7 surfaces** (not 12)","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","MATERIAL","MAJOR"
"1297-r1-12","1297-r1","pr-body","the First-Steps grep hits **6 files** (not 2) — and the omitted file was umbrella B's own kickoff naming BS2 the owner","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","MATERIAL","MAJOR"
"1297-r1-13","1297-r1","pr-body","bridge-health causal claim","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","IMMATERIAL","MINOR"
"1297-r1-14","1297-r1","pr-body","«silently»","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","IMMATERIAL","MINOR"
"1297-r1-15","1297-r1","pr-body","citation nits","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","IMMATERIAL","MINOR"
"1297-r1-16","1297-r1","pr-body","600-line gate unflagged","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","IMMATERIAL","MINOR"
"1297-r1-17","1297-r1","pr-body","narrowed park channel","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","IMMATERIAL","MINOR"
"1297-r1-18","1297-r1","pr-body","weak pre-flight","PR #1297 · round 1 · .claude/orchestrator-prompts/beta-ai-docs-agnosticism/kickoff-s1.md","IMMATERIAL","MINOR"
"1297-r1-19","1297-r1","pr-body","ambiguous root-AGENTS.md scope","PR #1297 · round 1 · AGENTS.md","IMMATERIAL","MINOR"
"1302-r1-1","1302-r1","pr-body","three stale-prose anchors the swap itself created (`render-rule-index.mjs:8` ""3 Tier-0 core rules""→2; N31-2 comment ""4-entry""→3; two `§1.2` refs inside BFR §9 that resolved against BFR's own section numbering — repointed at the rule's `paths:` frontmatter)","PR #1302 · round 1 · scripts/render-rule-index.mjs","IMMATERIAL","MINOR"
"1311-r1-1","1311-r1","pr-body","a dangling «moved-to» pointer that had silently dropped the monorepo `ENOENT` caveat","PR #1311 · round 1 · packages/core/templates/shared/AI-USAGE-GUIDE.md","MATERIAL","MAJOR"
"1311-r1-2","1311-r1","pr-body","a shipped reference doc PRESCRIBING the `/aif-*` block the branch had just deleted","PR #1311 · round 1 · packages/core/templates/shared/AI-USAGE-GUIDE.md","MATERIAL","MAJOR"
"1311-r1-3","1311-r1","pr-body","a false claim that AIF is bundled by our own installer, contradicting a sibling file authored on the same branch","PR #1311 · round 1 · packages/core/templates/shared/AI-USAGE-GUIDE.md","MATERIAL","MAJOR"
"1311-r1-4","1311-r1","pr-body","a roster count rewritten in place while left stale","PR #1311 · round 1 · packages/core/templates/shared/AGENTS.md.template","MATERIAL-b","MAJOR"
"1311-r1-5","1311-r1","pr-body","`AGENTS.md.template:30`'s `factory` row lists the 7-skill operator suite but not the two factory-gated sub-agents (`orchestrator-worker-discipline`, `reviewer-discipline`, gated at `setup.d/20-agents.sh:31-38`), so a cold harness at factory depth cannot learn from AGENTS.md that they are on disk","PR #1311 · round 6 · packages/core/templates/shared/AGENTS.md.template","MATERIAL-b","MINOR"
