id,route,class_adv,layer_adv,whose_adv,rationale
1290-r1-1,agreed,MATERIAL,implementation,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1290-r1-2,agreed,MATERIAL,plan,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1290-r1-3,agreed,MATERIAL,design,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1290-r1-4,material-b,MATERIAL,implementation,reviewer,Primary measured band misquoted (endpoints AND direction) in a spec other work consumes; load-bearing measurement record
1290-r1-5,agreed,IMMATERIAL,implementation,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1290-r1-6,agreed,MATERIAL,implementation,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1290-r1-7,agreed,MATERIAL,design,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1290-r1-8,material-b,MATERIAL,implementation,reviewer,Incomplete population census under conclusions resting on it (T10 class); completing to 18/18 changed the evidence base
1290-r1-9,disputed,IMMATERIAL,implementation,reviewer,Broken links in a measurement spec: navigation repair; no decision or behavior moved; doc mechanics not design substance
1290-r1-10,disputed,MATERIAL,implementation,reviewer,Restored test fixture + dropped antecedents = silently-lost test material; behavior-touching restoration
1290-r2-1,material-b,IMMATERIAL,implementation,reviewer,Derived strengthening claim corrected; verdict survived on re-verified arithmetic (14/14); no decision moved
1290-r2-2,agreed,IMMATERIAL,implementation,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1290-r2-3,agreed,IMMATERIAL,implementation,reviewer,"confirmed - layer/whose reviewed against finding text, no override"
1297-r1-1,agreed,MATERIAL,plan,advisor,"confirmed - layer/whose reviewed against finding text, no override"
1297-r1-2,disputed,MATERIAL,plan,reviewer,Kickoff authorized relocating A-S3-owned + preset-installed files; fix changed the stage plan (targets dropped; stop condition added)
1297-r1-3,unrecoverable,MATERIAL,plan,reviewer,Spec clause silently dropped from the kickoff - silent scope subtraction; restored as recorded deferral
1297-r1-4,unrecoverable,MATERIAL,plan,reviewer,Write-contention hole vs a live parallel stage; fix re-sequenced the plan
1297-r1-5,unrecoverable,MATERIAL,design,reviewer,Acceptance criterion missing the field-existing case = false-pass AC on the ownership design
1297-r1-6,unrecoverable,MATERIAL,plan,reviewer,Mandatory trap enumeration dropped (T15 is not optional); discipline gate hole in the kickoff
1297-r1-7,unrecoverable,MATERIAL,plan,advisor,Zero-cost park exit from the stage's hard part - incentive/effort-worthiness defect; advisor-class concept
1297-r1-8,unrecoverable,MATERIAL,implementation,reviewer,Parity fixture degradable to self-comparison makes the seeded-red impossible = contract-that-cannot-fail
1297-r1-9,unrecoverable,MATERIAL,implementation,reviewer,"Citation truncated exactly before the load-bearing precedent; a cite-range defect, no structural question - implementation not architecture"
1297-r1-10,unrecoverable,MATERIAL,plan,reviewer,'skipped unavailable' held only under an unstated Provenance precondition - fail-open path for the fidelity gate; kickoff contract object
