id,source,provenance,finding,context,class_start,orig_grade
"1376-td1-1","1376-td-r1","review-report","the acceptance rule scores 1 of the classifier's 3 outputs; the other two ship unmeasured, contradicting the ratified P8/§12 premise","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","BLOCKER"
"1376-td1-2","1376-td-r1","review-report","the C0 bar is unusable in both of its arms: arm (a) is constant-by-construction on this corpus, arm (b) is contaminated by the label-construction process","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","BLOCKER"
"1376-td1-3","1376-td-r1","review-report","circularity: every label producer shares the judge's provenance and rubric source; the only independent anchor is ~10 rows","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-4","1376-td-r1","review-report","construct-validity gap: the bench measures a third-party judge on decontextualised one-liners; deployment is in-situ self-grading with the full diff in context","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-5","1376-td-r1","review-report","label leakage into the corpus text: `context` will be mined from the audit's `Basis` column, which *is* the label rationale","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-6","1376-td-r1","review-report","the acceptance rule has no noise floor and an undefined reference for its second arm","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-7","1376-td-r1","review-report","missing population: `/arch` design-review findings are absent from the corpus, yet §6 deploys the rubric onto exactly that surface","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-8","1376-td-r1","review-report","the hardest stratum (MATERIAL-b, ~16%) is resolved by a single adjudicator with no second rater, and the operator sample is not stratified onto it","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-9","1376-td-r1","review-report","S3 seeds `decisions.md` with ~50 synthetic batch entries, tripping the D-K4 / D-AP4 «journal volume» trigger on non-live data","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-10","1376-td-r1","review-report","P6's «cheap» condition is a recorded premise with no estimate anywhere in the spec; no stage budget is declared","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-11","1376-td-r1","review-report","the bench cannot measure the quantity §5's asymmetry rests on, and D-K5's falsifier covers only the safe direction","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MAJOR"
"1376-td1-12","1376-td-r1","review-report","proportionality of *this scale* of measurement is an unrecorded value premise","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","none"
"1376-td1-13","1376-td-r1","review-report","whether a null result («no layer beats the bar») is worth the corpus's full cost","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","none"
"1376-td1-14","1376-td-r1","review-report","`pr-body-fidelity.ts:165` does not contain the claim it is cited for","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MINOR"
"1376-td1-15","1376-td-r1","review-report","κ's prevalence paradox is unguarded","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MINOR"
"1376-td1-16","1376-td-r1","review-report","first tracked `.csv` under `docs/`","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MINOR"
"1376-td1-17","1376-td-r1","review-report","no §self-application section","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MINOR"
"1376-td1-18","1376-td-r1","review-report","S1's ownership of judgment fields is unstated","PR #1376 · top-down-r1 · sources/top-down-r1.md","UNRECOVERABLE","MINOR"
"1376-bu1-1","1376-bu-r1","review-report","`label_final` has no defined value set, and three incompatible vocabularies are in play","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MAJOR"
"1376-bu1-2","1376-bu-r1","review-report","the cold re-label reads the audit's own grade justification, so κ is inflated in the direction D-K2's falsifier cannot see","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MAJOR"
"1376-bu1-3","1376-bu-r1","review-report","`audit-1369.csv` and `s4-round7.csv` are overlapping populations, so ~11 rows are duplicated","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MAJOR"
"1376-bu1-4","1376-bu-r1","review-report","§9 lands the SSOT entry in S5 while the promptfoo capability commit lands in S4; the live gate rejects that ordering","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MAJOR"
"1376-bu1-5","1376-bu-r1","review-report","`td-m3.csv` cites a source that holds only one of the two incidents","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MAJOR"
"1376-bu1-6","1376-bu-r1","review-report","`pr-body-fidelity.ts:165` is a stale line pointer","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MINOR"
"1376-bu1-7","1376-bu-r1","review-report","says S4 under-graded «3»","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MINOR"
"1376-bu1-8","1376-bu-r1","review-report","one `label_start` split is unrecoverable","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MINOR"
"1376-bu1-9","1376-bu-r1","review-report","ambiguous self-reference in §9","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MINOR"
"1376-bu1-10","1376-bu-r1","review-report","«spec §13/§14 disposition tables» is not a stable locator","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MINOR"
"1376-bu1-11","1376-bu-r1","review-report","S5 edits an artifact the Ownership Contract marks read-only for sessions","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MINOR"
"1376-bu1-12","1376-bu-r1","review-report","§7's disposition set extends its cited source","PR #1376 · bottom-up-r1 · sources/bottom-up-r1.md","UNRECOVERABLE","MINOR"
"1376-r2v-1","1376-r2-verify","review-report","`orig_grade` leaks into the corpus through the verbatim finding text, so the new C0 bar is measured against labels that already saw it","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","BLOCKER"
"1376-r2v-2","1376-r2-verify","review-report","the anti-leakage probe fails S1 deterministically on correctly-built rows","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MAJOR"
"1376-r2v-3","1376-r2-verify","review-report","`arch-reviews.csv` and `research-forks.csv` cannot be built under the §2 extraction contract; their only available text is the banned shape","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MAJOR"
"1376-r2v-4","1376-r2-verify","review-report","`UNRECOVERABLE` rows have no route to `class_final`","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MAJOR"
"1376-r2v-5","1376-r2-verify","review-report","the §13 gate note tells the operator the C0 repair softened ESCALATED-2, when the repair most likely sharpens it","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MAJOR"
"1376-r2v-6","1376-r2-verify","review-report","«beyond the noise floor» is stated as an apparatus, not a decision rule","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MINOR"
"1376-r2v-7","1376-r2-verify","review-report","ESCALATED-1's §13 summary drops the half that grounds it","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MINOR"
"1376-r2v-8","1376-r2-verify","review-report","D-AP4 has no «journal volume» trigger","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MINOR"
"1376-r2v-9","1376-r2-verify","review-report","S1's «~0 (mechanical)» estimate predates the S1 the r1 repairs produced","PR #1376 · r2-verify · sources/r2-verify.md","UNRECOVERABLE","MINOR"
"1376-fid1-1","1376-fid-r1","review-report","§1/§4 state the promptfoo capability commit unconditionally while §9 defers it","PR #1376 · fidelity-r1 · sources/fidelity-r1.md","UNRECOVERABLE","MINOR"
"1376-fid1-2","1376-fid-r1","review-report","D-K3's decision text was not amended to record the probe-primary flip","PR #1376 · fidelity-r1 · sources/fidelity-r1.md","UNRECOVERABLE","MINOR"
"1376-fid1-3","1376-fid-r1","review-report","one mandate-enumerated candidate has no disposition in this spec","PR #1376 · fidelity-r1 · sources/fidelity-r1.md","UNRECOVERABLE","MINOR"
"1376-fid1-4","1376-fid-r1","review-report","§13 names the r1 reports by filenames that do not exist","PR #1376 · fidelity-r1 · sources/fidelity-r1.md","UNRECOVERABLE","MINOR"
"1376-fid1-5","1376-fid-r1","review-report","S0 is itself a micro corpus-assembly + operator adjudication under the same §2 contract","PR #1376 · fidelity-r1 · sources/fidelity-r1.md","UNRECOVERABLE","MINOR"
